"SourceFile"	"FileName"	"Make"	"Model"	"DateTimeOriginal"	"TriggerMode"	"Sequence"	"EventNumber"	"MoonPhase"	"AmbientTemperature"	"SerialNumber"	"Contrast"	"Brightness"	"Sharpness"	"Saturation"	"NewFileName"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0018.JPG"	"IMG_0018.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 08:00:00"	"T"	"0 0"	2	2	10	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-08_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0019.JPG"	"IMG_0019.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 13:16:55"	"M"	"1 2"	9	2	16	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-08_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0020.JPG"	"IMG_0020.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 13:16:55"	"M"	"2 2"	9	2	16	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-08_0003.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0021.JPG"	"IMG_0021.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 18:31:58"	"M"	"1 2"	10	2	15	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-08_0004.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0022.JPG"	"IMG_0022.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 18:31:59"	"M"	"2 2"	10	2	15	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-08_0005.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0023.JPG"	"IMG_0023.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:08 20:00:00"	"T"	"0 0"	3	2	13	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-08_0006.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0024.JPG"	"IMG_0024.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 08:00:00"	"T"	"0 0"	4	2	9	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-09_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0025.JPG"	"IMG_0025.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:09 20:00:00"	"T"	"0 0"	5	2	6	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-09_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0026.JPG"	"IMG_0026.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 08:00:00"	"T"	"0 0"	6	2	4	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-10_0001.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0027.JPG"	"IMG_0027.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 10:37:50"	"M"	"1 2"	11	2	7	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-10_0002.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0028.JPG"	"IMG_0028.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 10:37:50"	"M"	"2 2"	11	2	7	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-10_0003.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0029.JPG"	"IMG_0029.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 12:19:33"	"M"	"1 2"	12	2	9	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-10_0004.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0030.JPG"	"IMG_0030.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 12:19:33"	"M"	"2 2"	12	2	9	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-10_0005.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0031.JPG"	"IMG_0031.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 12:31:21"	"M"	"1 2"	13	2	9	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-10_0006.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0032.JPG"	"IMG_0032.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 12:31:22"	"M"	"2 2"	13	2	9	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-10_0007.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0033.JPG"	"IMG_0033.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 13:12:18"	"M"	"1 2"	14	2	9	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-10_0008.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0034.JPG"	"IMG_0034.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 13:12:18"	"M"	"2 2"	14	2	9	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-10_0009.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0035.JPG"	"IMG_0035.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 13:20:11"	"M"	"1 2"	15	2	9	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-10_0010.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0036.JPG"	"IMG_0036.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 13:20:11"	"M"	"2 2"	15	2	9	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-10_0011.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0037.JPG"	"IMG_0037.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 13:28:23"	"M"	"1 2"	16	2	9	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-10_0012.JPG"
"data/raw_images/vestre_jakobselv/vj_ga_hu_2/2020/IMG_0038.JPG"	"IMG_0038.JPG"	"RECONYX"	"SM750 SECURITY"	"2019:07:10 13:28:23"	"M"	"2 2"	16	2	9	"S750HK01271087"	143	239	16	0	"vj_ga_hu_2_2019-07-10_0013.JPG"
