"locality" "site" "date" "time" "image_name" "class_id" "presence_automatic" "presence_manual" "confidence_automatic" "observer_manual" "type_manual_classification" "comment"
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-10" "08:00:00" "vj_ga_hu_1_2019-07-10_0003.JPG" "empty" 1 1 0.99919468164444 "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-10" "08:00:00" "vj_ga_hu_1_2019-07-10_0003.JPG" "lem_lem" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-10" "08:00:00" "vj_ga_hu_1_2019-07-10_0003.JPG" "mus_erm" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-10" "20:00:00" "vj_ga_hu_1_2019-07-10_0004.JPG" "cricetidae" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-10" "20:00:00" "vj_ga_hu_1_2019-07-10_0004.JPG" "empty" 1 1 0.99913364648819 "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-10" "20:00:00" "vj_ga_hu_1_2019-07-10_0004.JPG" "lem_lem" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-10" "20:00:00" "vj_ga_hu_1_2019-07-10_0004.JPG" "mus_erm" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "04:46:01" "vj_ga_hu_1_2019-07-11_0001.JPG" "cricetidae" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "04:46:01" "vj_ga_hu_1_2019-07-11_0001.JPG" "empty" 1 1 0.999240159988403 "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "04:46:01" "vj_ga_hu_1_2019-07-11_0001.JPG" "lem_lem" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "04:46:01" "vj_ga_hu_1_2019-07-11_0001.JPG" "mus_erm" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "04:46:01" "vj_ga_hu_1_2019-07-11_0002.JPG" "cricetidae" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "04:46:01" "vj_ga_hu_1_2019-07-11_0002.JPG" "empty" 1 1 0.999294638633728 "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "04:46:01" "vj_ga_hu_1_2019-07-11_0002.JPG" "lem_lem" 0 0 NA "hb" "quality_check_random" NA
"vestre_jakobselv" "vj_ga_hu_1" "2019-07-11" "04:46:01" "vj_ga_hu_1_2019-07-11_0002.JPG" "mus_erm" 0 0 NA "hb" "quality_check_random" NA
